,project_id,visitor_id,experiment_id,uid,status,is_mobile,created_at,experiment_name,platform
1705,21,57181,49.0,1EU2MF00l9JuGsFQRZG8Oc,complete,1,2023-12-08 16:05:07,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1714,21,57235,49.0,7dbGmsx6trGWSW7jzsX4Jf,complete,1,2023-12-08 16:14:13,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1717,21,57268,49.0,2GEqEDrNpMT4BZZQv1WA1o,complete,0,2023-12-08 16:19:32,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1720,21,57275,49.0,4FuPauXcEE0qr5cM6rWrMr,complete,1,2023-12-08 16:20:02,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1724,21,57291,49.0,7EUYwXjbLv6R40SZoImqwP,complete,1,2023-12-08 16:22:18,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1725,21,57297,49.0,3B5Ml3KzDGD6zOpJ6bwVjh,complete,0,2023-12-08 16:23:15,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1732,21,57380,49.0,7Jew1X9R4i7a2jV5l0a4qN,complete,0,2023-12-08 16:38:14,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1735,21,57404,49.0,4poZfC9jN2xPajfjDbk8n1,complete,0,2023-12-08 16:41:51,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1739,21,57423,49.0,3eNZnOgBkin9wqIz97t3T2,complete,0,2023-12-08 16:47:44,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1747,21,57486,49.0,1FAeeoerJoz6loWvwYCkyw,complete,1,2023-12-08 17:28:54,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1751,21,57503,49.0,3N4mafrI08VHKpAgC8yFvZ,complete,1,2023-12-08 17:36:17,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1760,21,57613,49.0,4TZ5r5ZJBfC3MqBa2LBsiC,complete,1,2023-12-08 18:32:18,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1764,21,57654,49.0,3wKUC16RnE7ynjB72LNFkb,complete,1,2023-12-08 18:54:14,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1780,21,57792,49.0,5rrf83LYAl8Z3HiBmTlfJo,complete,1,2023-12-08 21:20:36,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1788,21,57851,49.0,6PCwfkuXO0FmpdquZzDvqP,complete,0,2023-12-09 03:36:43,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1790,21,57864,49.0,3PCMkfy4YPqQkNaD9Rdj5w,complete,0,2023-12-09 05:15:58,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1792,21,57894,49.0,11K7qfC1BVfDacZ4B1HjJQ,complete,0,2023-12-09 12:03:51,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1796,21,57962,49.0,4evJfYI9V7i1Dw52RpQ1i9,complete,1,2023-12-09 14:29:00,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1813,21,58102,49.0,4mEBhndYxsrRMGAMXNvgda,complete,1,2023-12-09 14:55:59,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1814,21,58120,49.0,4RYse4mW1ZCuwu1CDrlJ2a,complete,1,2023-12-09 14:58:54,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1816,21,58133,49.0,4ehqq8B9yJvTeI1zaSZ450,complete,1,2023-12-09 15:01:20,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1817,21,58138,49.0,6NCMbFjWLbtUDovHYd4OE3,complete,1,2023-12-09 15:02:00,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1818,21,58147,49.0,6Q6Ju642yWlXxU3SpRYjcm,complete,1,2023-12-09 15:04:19,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1829,21,58244,49.0,3YjfyC3yYu5GMLhQ07ZaZu,complete,1,2023-12-09 15:22:39,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1843,21,58376,49.0,0rCYqAGRUdwR0rYRYlPt1X,complete,0,2023-12-09 16:06:06,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1863,21,58547,49.0,1h5O0LrYA4og9Djbf0pfUC,complete,1,2023-12-09 17:20:42,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1866,21,58569,49.0,1YSLKxkHjb4sYMKVQNXzYN,complete,1,2023-12-09 17:29:38,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1871,21,58659,49.0,1nA9aRENGdPU91uJqdK2Uf,complete,1,2023-12-09 18:08:34,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1872,21,58665,49.0,4YbLDcj8JnPJyYVfB40dTH,complete,0,2023-12-09 18:12:17,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1875,21,58696,49.0,3mlMkl6bdU34Mye08w8Zz8,complete,1,2023-12-09 18:25:41,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1878,21,58713,49.0,3c8hLw3BqhQji2KxWIXZc3,complete,0,2023-12-09 18:36:55,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1884,21,58739,49.0,5e4fAF3zYBbhOrG0I2Ssqp,complete,0,2023-12-09 18:57:31,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1887,21,58747,49.0,4eXkrGmXxHbGj55wofksiL,complete,1,2023-12-09 19:06:31,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1897,21,58788,49.0,3AjIVqbJZh3t7WSQbf9rEW,complete,1,2023-12-09 19:23:40,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
